"Date.Time","Lat","Lon","Base","Year","Month","Day","Weekday","Hour","Minute","Second"
"2014-04-01 07:09:00",40.7786,-73.9512,"B02512",2014,4,1,3,7,9,0
"2014-04-01 07:11:00",40.7877,-73.9788,"B02512",2014,4,1,3,7,11,0
"2014-04-01 07:12:00",40.8674,-73.8822,"B02512",2014,4,1,3,7,12,0
"2014-04-01 07:14:00",40.7678,-73.9704,"B02512",2014,4,1,3,7,14,0
"2014-04-01 07:15:00",40.7749,-73.9587,"B02512",2014,4,1,3,7,15,0
"2014-04-01 07:15:00",40.7209,-73.9813,"B02512",2014,4,1,3,7,15,0
"2014-04-01 07:17:00",40.756,-73.9752,"B02512",2014,4,1,3,7,17,0
"2014-04-01 07:17:00",40.7923,-73.9676,"B02512",2014,4,1,3,7,17,0
"2014-04-01 07:20:00",40.739,-73.9991,"B02512",2014,4,1,3,7,20,0
"2014-04-01 07:21:00",40.7273,-73.9797,"B02512",2014,4,1,3,7,21,0
"2014-04-01 07:22:00",40.7751,-73.9475,"B02512",2014,4,1,3,7,22,0
"2014-04-01 07:22:00",40.7406,-73.9983,"B02512",2014,4,1,3,7,22,0
"2014-04-01 07:23:00",40.8364,-74.1461,"B02512",2014,4,1,3,7,23,0
"2014-04-01 07:24:00",40.7452,-73.991,"B02512",2014,4,1,3,7,24,0
"2014-04-01 07:25:00",40.7805,-73.9481,"B02512",2014,4,1,3,7,25,0
"2014-04-01 07:25:00",40.7805,-73.9481,"B02512",2014,4,1,3,7,25,0
"2014-04-01 07:26:00",40.7814,-73.9513,"B02512",2014,4,1,3,7,26,0
"2014-04-01 07:26:00",40.7864,-73.9699,"B02512",2014,4,1,3,7,26,0
"2014-04-01 07:27:00",40.783,-73.9559,"B02512",2014,4,1,3,7,27,0
"2014-04-01 07:28:00",40.7582,-73.9928,"B02512",2014,4,1,3,7,28,0
"2014-04-01 07:29:00",40.7216,-74.0046,"B02512",2014,4,1,3,7,29,0
"2014-04-01 07:29:00",40.7298,-73.9988,"B02512",2014,4,1,3,7,29,0
"2014-04-01 07:29:00",40.7746,-73.956,"B02512",2014,4,1,3,7,29,0
"2014-04-01 07:30:00",40.7208,-73.994,"B02512",2014,4,1,3,7,30,0
"2014-04-01 07:32:00",40.7669,-73.9617,"B02512",2014,4,1,3,7,32,0
"2014-04-01 07:32:00",40.7084,-74.0064,"B02512",2014,4,1,3,7,32,0
"2014-04-01 07:35:00",40.7425,-73.9942,"B02512",2014,4,1,3,7,35,0
"2014-04-01 07:35:00",40.7424,-73.9838,"B02512",2014,4,1,3,7,35,0
"2014-04-01 07:35:00",40.7724,-73.955,"B02512",2014,4,1,3,7,35,0
"2014-04-01 07:37:00",40.7787,-73.9559,"B02512",2014,4,1,3,7,37,0
"2014-04-01 07:38:00",40.7752,-73.9637,"B02512",2014,4,1,3,7,38,0
"2014-04-01 07:38:00",40.7754,-73.95,"B02512",2014,4,1,3,7,38,0
"2014-04-01 07:38:00",40.7368,-74.0044,"B02512",2014,4,1,3,7,38,0
"2014-04-01 07:40:00",40.7174,-73.9924,"B02512",2014,4,1,3,7,40,0
"2014-04-01 07:42:00",40.7305,-73.9934,"B02512",2014,4,1,3,7,42,0
"2014-04-01 07:45:00",40.7747,-73.9613,"B02512",2014,4,1,3,7,45,0
"2014-04-01 07:45:00",40.7229,-73.994,"B02512",2014,4,1,3,7,45,0
"2014-04-01 07:46:00",40.7396,-73.981,"B02512",2014,4,1,3,7,46,0
"2014-04-01 07:46:00",40.725,-73.9994,"B02512",2014,4,1,3,7,46,0
"2014-04-01 07:50:00",40.695,-74.1774,"B02512",2014,4,1,3,7,50,0
"2014-04-01 07:51:00",40.719,-74.0064,"B02512",2014,4,1,3,7,51,0
"2014-04-01 07:51:00",40.8271,-73.9726,"B02512",2014,4,1,3,7,51,0
"2014-04-01 07:53:00",40.7793,-73.9495,"B02512",2014,4,1,3,7,53,0
"2014-04-01 07:54:00",40.7266,-73.9801,"B02512",2014,4,1,3,7,54,0
"2014-04-01 07:55:00",40.6922,-74.1811,"B02512",2014,4,1,3,7,55,0
"2014-04-01 07:56:00",40.7418,-74.0074,"B02512",2014,4,1,3,7,56,0
"2014-04-01 07:56:00",40.7108,-73.9845,"B02512",2014,4,1,3,7,56,0
"2014-04-01 07:57:00",40.7857,-73.9802,"B02512",2014,4,1,3,7,57,0
"2014-04-01 07:59:00",40.7757,-73.9502,"B02512",2014,4,1,3,7,59,0
"2014-04-01 08:01:00",40.7514,-73.9699,"B02512",2014,4,1,3,8,1,0
"2014-04-01 08:02:00",40.7343,-73.9936,"B02512",2014,4,1,3,8,2,0
"2014-04-01 08:05:00",40.734,-74.0094,"B02512",2014,4,1,3,8,5,0
"2014-04-01 08:05:00",40.718,-74.0099,"B02512",2014,4,1,3,8,5,0
"2014-04-01 08:07:00",40.7287,-73.9805,"B02512",2014,4,1,3,8,7,0
"2014-04-01 08:08:00",40.758,-73.9707,"B02512",2014,4,1,3,8,8,0
"2014-04-01 08:08:00",40.692,-74.1813,"B02512",2014,4,1,3,8,8,0
"2014-04-01 08:08:00",40.778,-73.9487,"B02512",2014,4,1,3,8,8,0
"2014-04-01 08:08:00",40.7658,-73.9692,"B02512",2014,4,1,3,8,8,0
"2014-04-01 08:08:00",40.7222,-74.0104,"B02512",2014,4,1,3,8,8,0
"2014-04-01 08:10:00",40.7329,-73.9881,"B02512",2014,4,1,3,8,10,0
"2014-04-01 08:11:00",40.7659,-73.9766,"B02512",2014,4,1,3,8,11,0
"2014-04-01 08:16:00",40.7789,-73.9618,"B02512",2014,4,1,3,8,16,0
"2014-04-01 08:18:00",40.789,-73.9743,"B02512",2014,4,1,3,8,18,0
"2014-04-01 08:19:00",40.7617,-73.9843,"B02512",2014,4,1,3,8,19,0
"2014-04-01 08:19:00",40.7214,-73.9475,"B02512",2014,4,1,3,8,19,0
"2014-04-01 08:20:00",40.7595,-73.9913,"B02512",2014,4,1,3,8,20,0
"2014-04-01 08:21:00",40.7931,-73.9748,"B02512",2014,4,1,3,8,21,0
"2014-04-01 08:21:00",40.7371,-74.0004,"B02512",2014,4,1,3,8,21,0
"2014-04-01 08:22:00",40.7345,-73.996,"B02512",2014,4,1,3,8,22,0
"2014-04-01 08:24:00",40.7747,-73.9912,"B02512",2014,4,1,3,8,24,0
"2014-04-01 08:24:00",40.8822,-73.9211,"B02512",2014,4,1,3,8,24,0
"2014-04-01 08:25:00",40.762,-73.9787,"B02512",2014,4,1,3,8,25,0
"2014-04-01 08:25:00",40.762,-73.9787,"B02512",2014,4,1,3,8,25,0
"2014-04-01 08:27:00",40.7326,-74.0038,"B02512",2014,4,1,3,8,27,0
"2014-04-01 08:28:00",40.7555,-73.9737,"B02512",2014,4,1,3,8,28,0
"2014-04-01 08:28:00",40.7596,-73.9854,"B02512",2014,4,1,3,8,28,0
"2014-04-01 08:29:00",40.6904,-74.1778,"B02512",2014,4,1,3,8,29,0
"2014-04-01 08:29:00",40.6904,-74.1778,"B02512",2014,4,1,3,8,29,0
"2014-04-01 08:30:00",40.7408,-73.9914,"B02512",2014,4,1,3,8,30,0
"2014-04-01 08:32:00",40.6819,-73.9358,"B02512",2014,4,1,3,8,32,0
"2014-04-01 08:32:00",40.7624,-73.9714,"B02512",2014,4,1,3,8,32,0
"2014-04-01 08:36:00",40.7805,-73.9548,"B02512",2014,4,1,3,8,36,0
"2014-04-01 08:39:00",40.7889,-73.9542,"B02512",2014,4,1,3,8,39,0
"2014-04-01 08:42:00",40.7835,-73.9513,"B02512",2014,4,1,3,8,42,0
"2014-04-01 08:43:00",40.7651,-73.9617,"B02512",2014,4,1,3,8,43,0
"2014-04-01 08:43:00",40.7261,-73.9918,"B02512",2014,4,1,3,8,43,0
"2014-04-01 08:44:00",40.7303,-73.9937,"B02512",2014,4,1,3,8,44,0
"2014-04-01 08:44:00",40.8736,-74.0628,"B02512",2014,4,1,3,8,44,0
"2014-04-01 08:45:00",40.724,-73.9981,"B02512",2014,4,1,3,8,45,0
"2014-04-01 08:46:00",40.7744,-73.9578,"B02512",2014,4,1,3,8,46,0
"2014-04-01 08:49:00",40.7607,-73.9861,"B02512",2014,4,1,3,8,49,0
"2014-04-01 08:49:00",40.7749,-73.9841,"B02512",2014,4,1,3,8,49,0
"2014-04-01 08:51:00",40.7625,-73.9724,"B02512",2014,4,1,3,8,51,0
"2014-04-01 08:52:00",40.7377,-73.9965,"B02512",2014,4,1,3,8,52,0
"2014-04-01 08:54:00",40.7388,-74.0087,"B02512",2014,4,1,3,8,54,0
"2014-04-01 08:56:00",40.7677,-73.981,"B02512",2014,4,1,3,8,56,0
"2014-04-01 08:58:00",40.7691,-73.9652,"B02512",2014,4,1,3,8,58,0
"2014-04-01 08:58:00",40.7816,-73.9602,"B02512",2014,4,1,3,8,58,0
"2014-04-01 08:58:00",40.7739,-73.8717,"B02512",2014,4,1,3,8,58,0
"2014-04-01 09:00:00",40.7841,-73.9542,"B02512",2014,4,1,3,9,0,0
"2014-04-01 09:02:00",40.7426,-73.9963,"B02512",2014,4,1,3,9,2,0
"2014-04-01 09:05:00",40.771,-73.8669,"B02512",2014,4,1,3,9,5,0
"2014-04-01 09:06:00",40.775,-73.9888,"B02512",2014,4,1,3,9,6,0
"2014-04-01 09:07:00",40.7356,-74.0029,"B02512",2014,4,1,3,9,7,0
"2014-04-01 09:08:00",40.7666,-73.9784,"B02512",2014,4,1,3,9,8,0
"2014-04-01 09:10:00",40.7118,-73.9499,"B02512",2014,4,1,3,9,10,0
"2014-04-01 09:12:00",40.7097,-74.0153,"B02512",2014,4,1,3,9,12,0
"2014-04-01 09:15:00",40.7438,-74.0061,"B02512",2014,4,1,3,9,15,0
"2014-04-01 09:16:00",40.76,-73.9861,"B02512",2014,4,1,3,9,16,0
"2014-04-01 09:16:00",40.7752,-73.9635,"B02512",2014,4,1,3,9,16,0
"2014-04-01 09:23:00",40.7788,-73.956,"B02512",2014,4,1,3,9,23,0
"2014-04-01 09:24:00",40.8078,-73.9639,"B02512",2014,4,1,3,9,24,0
"2014-04-01 09:24:00",40.7631,-73.9784,"B02512",2014,4,1,3,9,24,0
"2014-04-01 09:25:00",40.7788,-73.951,"B02512",2014,4,1,3,9,25,0
"2014-04-01 09:25:00",40.7714,-73.9594,"B02512",2014,4,1,3,9,25,0
"2014-04-01 09:28:00",40.7694,-73.983,"B02512",2014,4,1,3,9,28,0
"2014-04-01 09:30:00",40.733,-73.9901,"B02512",2014,4,1,3,9,30,0
"2014-04-01 09:32:00",40.7412,-73.9878,"B02512",2014,4,1,3,9,32,0
"2014-04-01 09:35:00",40.7526,-73.975,"B02512",2014,4,1,3,9,35,0
"2014-04-01 09:38:00",40.7602,-73.9598,"B02512",2014,4,1,3,9,38,0
"2014-04-01 09:42:00",40.773,-73.9669,"B02512",2014,4,1,3,9,42,0
"2014-04-01 09:46:00",40.7628,-73.9948,"B02512",2014,4,1,3,9,46,0
"2014-04-01 09:46:00",40.7752,-73.9636,"B02512",2014,4,1,3,9,46,0
"2014-04-01 09:48:00",40.7283,-74.0071,"B02512",2014,4,1,3,9,48,0
"2014-04-01 09:49:00",40.7195,-74.0367,"B02512",2014,4,1,3,9,49,0
"2014-04-01 09:49:00",40.7195,-74.0367,"B02512",2014,4,1,3,9,49,0
"2014-04-01 09:52:00",40.7747,-73.9911,"B02512",2014,4,1,3,9,52,0
"2014-04-01 09:52:00",40.7401,-73.992,"B02512",2014,4,1,3,9,52,0
"2014-04-01 09:54:00",40.7686,-73.9698,"B02512",2014,4,1,3,9,54,0
"2014-04-01 09:54:00",40.7336,-73.9982,"B02512",2014,4,1,3,9,54,0
"2014-04-01 09:55:00",40.7795,-73.9837,"B02512",2014,4,1,3,9,55,0
"2014-04-01 09:58:00",40.7148,-74.0162,"B02512",2014,4,1,3,9,58,0
"2014-04-01 09:58:00",40.7438,-73.9759,"B02512",2014,4,1,3,9,58,0
"2014-04-01 09:58:00",40.745,-73.9888,"B02512",2014,4,1,3,9,58,0
"2014-04-01 10:01:00",40.7768,-73.9773,"B02512",2014,4,1,3,10,1,0
"2014-04-01 10:01:00",40.7594,-73.966,"B02512",2014,4,1,3,10,1,0
"2014-04-01 10:04:00",40.7741,-73.8726,"B02512",2014,4,1,3,10,4,0
"2014-04-01 10:05:00",40.7367,-73.9907,"B02512",2014,4,1,3,10,5,0
"2014-04-01 10:06:00",40.7368,-73.9847,"B02512",2014,4,1,3,10,6,0
"2014-04-01 10:07:00",40.8079,-73.9638,"B02512",2014,4,1,3,10,7,0
"2014-04-01 10:15:00",40.6678,-73.7956,"B02512",2014,4,1,3,10,15,0
"2014-04-01 10:15:00",40.721,-74.0033,"B02512",2014,4,1,3,10,15,0
"2014-04-01 10:15:00",40.7764,-73.9598,"B02512",2014,4,1,3,10,15,0
"2014-04-01 10:18:00",40.7746,-73.9581,"B02512",2014,4,1,3,10,18,0
"2014-04-01 10:18:00",40.7745,-73.9638,"B02512",2014,4,1,3,10,18,0
"2014-04-01 10:22:00",40.7224,-73.9935,"B02512",2014,4,1,3,10,22,0
"2014-04-01 10:22:00",40.7736,-73.9626,"B02512",2014,4,1,3,10,22,0
"2014-04-01 10:23:00",40.7348,-73.9929,"B02512",2014,4,1,3,10,23,0
"2014-04-01 10:27:00",40.7605,-73.9991,"B02512",2014,4,1,3,10,27,0
"2014-04-01 10:27:00",40.6948,-74.1779,"B02512",2014,4,1,3,10,27,0
"2014-04-01 10:29:00",40.7573,-73.9877,"B02512",2014,4,1,3,10,29,0
"2014-04-01 10:32:00",40.6949,-74.1781,"B02512",2014,4,1,3,10,32,0
"2014-04-01 10:32:00",40.6949,-74.1781,"B02512",2014,4,1,3,10,32,0
"2014-04-01 10:32:00",40.7771,-73.9754,"B02512",2014,4,1,3,10,32,0
"2014-04-01 10:33:00",40.7584,-73.989,"B02512",2014,4,1,3,10,33,0
"2014-04-01 10:33:00",40.755,-73.9878,"B02512",2014,4,1,3,10,33,0
"2014-04-01 10:34:00",40.7226,-74.0004,"B02512",2014,4,1,3,10,34,0
"2014-04-01 10:34:00",40.774,-73.9607,"B02512",2014,4,1,3,10,34,0
"2014-04-01 10:34:00",40.7718,-73.9654,"B02512",2014,4,1,3,10,34,0
"2014-04-01 10:34:00",40.7748,-73.991,"B02512",2014,4,1,3,10,34,0
"2014-04-01 10:36:00",40.775,-73.9595,"B02512",2014,4,1,3,10,36,0
"2014-04-01 10:37:00",40.7636,-73.9636,"B02512",2014,4,1,3,10,37,0
"2014-04-01 10:37:00",40.7743,-73.9847,"B02512",2014,4,1,3,10,37,0
"2014-04-01 10:41:00",40.7688,-73.8627,"B02512",2014,4,1,3,10,41,0
"2014-04-01 10:43:00",40.7254,-74.0071,"B02512",2014,4,1,3,10,43,0
"2014-04-01 10:44:00",40.7534,-73.9748,"B02512",2014,4,1,3,10,44,0
"2014-04-01 10:44:00",40.7773,-73.9595,"B02512",2014,4,1,3,10,44,0
"2014-04-01 10:46:00",40.7233,-74.0062,"B02512",2014,4,1,3,10,46,0
"2014-04-01 10:46:00",40.763,-73.9781,"B02512",2014,4,1,3,10,46,0
"2014-04-01 10:48:00",40.7822,-73.9599,"B02512",2014,4,1,3,10,48,0
"2014-04-01 10:53:00",40.6916,-73.9677,"B02512",2014,4,1,3,10,53,0
"2014-04-01 10:54:00",40.7577,-73.9694,"B02512",2014,4,1,3,10,54,0
"2014-04-01 10:55:00",40.7668,-73.9789,"B02512",2014,4,1,3,10,55,0
"2014-04-01 10:58:00",40.7741,-73.9629,"B02512",2014,4,1,3,10,58,0
"2014-04-01 10:59:00",40.7271,-74.0058,"B02512",2014,4,1,3,10,59,0
"2014-04-01 10:59:00",40.7072,-74.0049,"B02512",2014,4,1,3,10,59,0
"2014-04-01 11:01:00",40.7412,-73.9964,"B02512",2014,4,1,3,11,1,0
"2014-04-01 11:01:00",40.7883,-74.0456,"B02512",2014,4,1,3,11,1,0
"2014-04-01 11:01:00",40.7883,-74.0456,"B02512",2014,4,1,3,11,1,0
"2014-04-01 11:02:00",40.7568,-73.9721,"B02512",2014,4,1,3,11,2,0
"2014-04-01 11:02:00",40.7624,-73.9728,"B02512",2014,4,1,3,11,2,0
"2014-04-01 11:02:00",40.7457,-73.9916,"B02512",2014,4,1,3,11,2,0
"2014-04-01 11:03:00",40.7863,-73.9774,"B02512",2014,4,1,3,11,3,0
"2014-04-01 11:04:00",40.7593,-73.9721,"B02512",2014,4,1,3,11,4,0
"2014-04-01 11:05:00",40.7398,-73.9912,"B02512",2014,4,1,3,11,5,0
"2014-04-01 11:06:00",40.8275,-74.0468,"B02512",2014,4,1,3,11,6,0
"2014-04-01 11:06:00",40.8275,-74.0468,"B02512",2014,4,1,3,11,6,0
